purchase_day;tickets_sold;revenue;avg_basket;avg_lead_time;tx_count
05/01/2026;2;67.63;67.63;66.0;1
11/01/2026;1;34.15;34.15;60.0;1
12/01/2026;1;17.14;17.14;57.0;1
16/01/2026;5;76.1;38.05;56.5;2
17/01/2026;3;44.45;22.225;55.5;2
18/01/2026;1;17.15;17.15;72.0;1
19/01/2026;1;13.49;13.49;57.0;1
20/01/2026;2;23.0;23.0;46.0;1
21/01/2026;2;22.21;22.21;45.0;1
23/01/2026;7;120.12;40.04;50.0;3
24/01/2026;2;66.96;66.96;47.0;1
25/01/2026;10;147.3;24.55;45.166666666666664;6
26/01/2026;5;66.61;22.203333333333333;50.0;3
27/01/2026;4;53.78;13.445;48.75;4
28/01/2026;8;76.47;15.294;42.6;5
29/01/2026;9;111.03;27.7575;45.25;4
31/01/2026;8;97.56;24.39;43.25;4
01/02/2026;8;147.04000000000002;29.408000000000005;44.0;5
02/02/2026;4;81.82;40.91;39.5;2
03/02/2026;6;89.44999999999999;29.816666666666663;40.666666666666664;3
04/02/2026;9;192.89999999999998;24.112499999999997;36.75;8
05/02/2026;2;27.73;27.73;40.0;1
06/02/2026;7;165.95;41.4875;42.0;4
07/02/2026;15;268.99;38.42714285714286;36.0;7
08/02/2026;9;127.82000000000001;18.26;34.285714285714285;7
09/02/2026;15;382.14;38.214;34.2;10
10/02/2026;14;194.36;24.295;31.625;8
11/02/2026;28;440.28;25.898823529411764;34.64705882352941;17
12/02/2026;13;199.13;19.913;35.7;10
13/02/2026;18;275.65999999999997;25.06;30.818181818181817;11
14/02/2026;23;371.45;30.954166666666666;35.083333333333336;12
15/02/2026;31;524.88;30.87529411764706;33.1764705882353;17
16/02/2026;21;286.53;19.101999999999997;31.066666666666666;15
17/02/2026;16;327.90000000000003;27.325000000000003;31.0;12
18/02/2026;28;448.05;23.58157894736842;26.94736842105263;19
19/02/2026;37;692.97;30.12913043478261;23.565217391304348;23
20/02/2026;29;461.05;28.815625;24.25;16
21/02/2026;49;1022.51;39.32730769230769;21.384615384615383;26
22/02/2026;38;793.53;39.6765;19.95;20
23/02/2026;28;353.42;20.789411764705882;32.0;17
24/02/2026;46;759.09;27.110357142857143;22.035714285714285;28
25/02/2026;52;1105.72;44.2288;21.12;25
26/02/2026;41;559.11;25.41409090909091;20.863636363636363;22
27/02/2026;59;1103.17;36.772333333333336;17.866666666666667;30
28/02/2026;34;659.97;29.998636363636365;21.727272727272727;22
01/03/2026;49;853.55;27.533870967741933;15.548387096774194;31
02/03/2026;33;577.48;27.49904761904762;19.428571428571427;21
03/03/2026;52;863.36;26.162424242424244;17.393939393939394;33
04/03/2026;64;1132.64;39.05655172413793;16.275862068965516;29
05/03/2026;56;937.36;29.2925;17.46875;32
06/03/2026;66;1295.88;33.22769230769231;16.76923076923077;39
07/03/2026;53;877.87;30.271379310344827;19.96551724137931;29
08/03/2026;68;1194.27;34.122;17.942857142857143;35
09/03/2026;94;1817.65;34.29528301886793;9.339622641509434;53
10/03/2026;57;992.84;28.366857142857143;16.714285714285715;35
11/03/2026;73;1487.59;40.20513513513513;15.08108108108108;37
12/03/2026;58;955.23;28.946363636363635;22.636363636363637;33
13/03/2026;67;1143.09;26.583488372093022;16.627906976744185;43
14/03/2026;62;982.58;21.83511111111111;15.511111111111111;45
15/03/2026;55;1002.0;32.32258064516129;17.580645161290324;31
16/03/2026;148;2297.41;31.04608108108108;8.662162162162161;74
17/03/2026;65;868.08;24.113333333333333;23.22222222222222;36
18/03/2026;51;1050.28;37.51;22.571428571428573;28
19/03/2026;88;1263.58;26.884680851063827;14.957446808510639;47
20/03/2026;58;1059.93;30.283714285714286;20.485714285714284;35
21/03/2026;51;791.24;27.284137931034483;22.413793103448278;29
22/03/2026;70;1230.39;33.25378378378379;20.08108108108108;37
23/03/2026;68;1107.31;29.13973684210526;17.42105263157895;38
24/03/2026;80;1266.57;28.145999999999997;20.91111111111111;45
25/03/2026;60;979.65;25.119230769230768;19.897435897435898;39
26/03/2026;52;871.21;23.546216216216216;16.675675675675677;37
27/03/2026;65;1077.79;27.635641025641025;24.46153846153846;39
28/03/2026;83;1584.16;33.70553191489362;15.553191489361701;47
29/03/2026;75;1387.1;30.154347826086955;13.434782608695652;46
30/03/2026;86;1657.97;30.70314814814815;11.37037037037037;54
31/03/2026;77;1390.54;30.229130434782608;16.304347826086957;46
01/04/2026;63;1462.52;40.62555555555556;9.444444444444445;36
02/04/2026;56;962.37;30.0740625;17.375;32
03/04/2026;70;1433.9099999999999;29.873124999999998;15.791666666666666;48
04/04/2026;65;1280.68;31.23609756097561;15.75609756097561;41
05/04/2026;73;1074.54;25.584285714285713;14.333333333333334;42
06/04/2026;65;1224.89;27.838409090909092;16.09090909090909;44
07/04/2026;149;2323.62;27.995421686746987;7.265060240963855;83
08/04/2026;68;1304.0;35.24324324324324;16.324324324324323;37
09/04/2026;79;1214.1;26.393478260869564;14.043478260869565;46
10/04/2026;86;1677.39;33.5478;15.2;50
11/04/2026;166;2523.82;26.566526315789474;4.852631578947369;95
12/04/2026;30;685.09;38.06055555555556;23.333333333333332;18
13/04/2026;43;1022.11;36.503928571428574;23.928571428571427;28
14/04/2026;71;1509.56;44.398823529411764;24.058823529411764;34
15/04/2026;43;782.08;34.003478260869564;23.52173913043478;23
16/04/2026;53;1215.72;37.99125;21.625;32
17/04/2026;37;1008.21;45.82772727272727;19.90909090909091;22
18/04/2026;53;1143.26;39.422758620689656;20.82758620689655;29
19/04/2026;56;1119.9;32.938235294117646;22.0;34
20/04/2026;82;1647.81;43.36342105263158;21.473684210526315;38
21/04/2026;76;1939.74;44.085;18.545454545454547;44
22/04/2026;69;1637.1100000000001;39.92951219512195;14.048780487804878;41
23/04/2026;154;4525.84;47.64042105263158;9.894736842105264;95
24/04/2026;48;1006.1800000000001;32.45741935483871;24.322580645161292;31
25/04/2026;59;1227.72;35.077714285714286;24.34285714285714;35
26/04/2026;65;1455.35;42.80441176470588;23.58823529411765;34
27/04/2026;63;1444.27;40.11861111111111;20.72222222222222;36
28/04/2026;69;1460.03;33.95418604651163;20.558139534883722;43
29/04/2026;90;1852.82;37.81265306122449;17.408163265306122;49
30/04/2026;62;1333.99;39.235;18.529411764705884;34
01/05/2026;148;2590.0;33.205128205128204;12.948717948717949;78
02/05/2026;74;1696.67;37.70377777777778;19.42222222222222;45
03/05/2026;59;1495.34;45.31333333333333;18.454545454545453;33
04/05/2026;68;1574.91;37.49785714285714;19.88095238095238;42
